阰: 古山名。在楚国南部。
憾: 悔恨失望，心中感到不满意：遗～。引以为～。
橝: 1.架蚕箔的木柱。2.古通“覃”，长：“揽瑶木之～枝兮，望阆风之板桐。”3.古书上说的一种橉类植物。
馑: 原指蔬菜没有收成，后指荒年。
將: 请求。  【组词】：将子无怒，秋以为期。#####（《诗经．卫风．氓》）
榑: 〔～桑〕古同“扶桑”，海外的大桑树，太阳从这里升起（古代神话传说），如“朝发～桑，日入落棠。”
窐: 1.低洼：“子能以～为突乎？”2.低洼的地方：“有～中积雨，色微黄臭。”
懑: 1.烦闷。2.愤慨；生气：愤～。
涫: 1.水沸。2.通“盥”。
剞: 〔～劂〕a.雕刻用的曲刀；b.雕版，刻书。
劂: 见〔剞劂〕
棂: 旧式窗户的格子： 窗～。
陞: 同“升”。
箟: 古同“箘”，一种竹子。
簬: 〔箘～〕见“箘”。
隿: 古同“戈”，用带绳子的箭射猎。
陿: 古同“狭”。
濛: 覆盖、遮住。  【组词】：蒙上一张纸。欺骗、瞒骗。  【组词】：蒙骗、蒙蔽承受、遭遇。  【组词】：承蒙、蒙恩心智幼稚、昏昧无知。  【组词】：启蒙、童蒙六十四卦之一。坎下艮上。象徵有进退两难，不知所适的意思。蒙古的简称。  【组词】：蒙藏、蒙族姓。
眐: 〔～～〕独行的样子，如“魂～～以寄独兮。”
摡: 1.古同“溉”，洗涤。2.主。
猒: 同“餍”。
嗼: 1.静，寂静：“饥马盈厩～然，未见刍也。”2.喷嚏。
筊: 1.竹索。2.小箫。3.笋。
鄗: 1.古县名，在今河北柏乡北。2.姓。
鴳: 〔～雀〕鹑的一种。
鱏: 同“鲟”。
陼: 同“渚”。
綝: 1.止。2.良善。
駏: 〔～驉（xū）〕古书上说的一种形似骡，可供乘骑的兽：“恒从小奚奴骑～驉（xū）。”
筴: 同“策”。
仟: 数目“千”的大写。多用于票证、账目等。
钜: 1.硬铁。2.钩子。3.同“巨”，大。
砏: 〔～磤（yǐn）〕象声词，（宝石）相互撞击的声音，如“巨宝迁兮～磤（yǐn）。”〔～汃（pà）〕（波浪）冲击声。
磤: 〔砏～〕见“砏1”。
懤: 〔～～〕深深的忧愁。
怞: 〔～～〕忧愁的样子，如“永余思兮～～。”
[: 
糹: 细丝表示长度的小数。相当于五根蚕丝并排的长度。@@@@3.微小。
]: 
瞵: 凝视的样子：鹰～鸮视。
滃: 1.形容水盛。2.形容云起：～起。
懰: 1.〔～栗〕悲伤；忧伤。2.停留：“～檄籴以奔邀，似将放而中匮。”
挤: 1.（人、物）紧紧靠拢在一起；（事情）集中在同一时间内：～做一团。屋里～满了人。事情全～在一块儿了。2.地方相对地小而人或物等相对地多：车厢里特别～。3.在拥挤的环境中用身体排开人或物：人多～不进来。4.用压力使从孔隙中出来：～牛奶。～牙膏。～时间学习。5.排斥；排挤：我的名额被～掉了。
蒶: 〔～蕴〕蕴结；蕴积。
霉: 1.霉菌。2.东西因霉菌的作用而变质：～烂。发～。衣服～了。
黧: 黑色：面目～黑。
曏: 同“向”。
軔: 见“轫”。
佪: 〔俳佪〕徘徊。
沶: 古河名，在今中国湖北省。
娭: 同“嬉”。
塺: 尘土：“竢埃时风之清激兮，愈氛雾其如～。”
々: 
怠: 1.懒散；松懈：～惰。懈～。2.轻慢；不恭敬：～慢。
诊: 医生检查病情： 门～。 会～。
劘: 1.切削。2.磨。
儛: 1.同“舞”。2.〔朝儛〕古山名。在山东。
沲: 江水支流的通名
戃: 〔～慌（huāng）〕失意忧愁的样子。
洶: 同“汹”。
濆: 1.古同“喷”：“～泉上涌。”2.涌起。3.涌起的高浪：“撇漩捎～无险阻。”
脟: 1.肋骨部分的肉：“嘴长会呵～。”2.肠间脂肪。
圈: 1.环形，环形的东西：圆～。花～。～套。画～。2.周，周遭：跑了一～儿。3.范围：势力～。4.画环形：～阅。～点。～定。5.划界，围住：～地。～闭。
诐: 1.辩论。2.不正：～辞（邪僻的言论）。
禦: 驾驭、驾驭车马。  【组词】：御马控制、治理。  【组词】：统御、御事天子的、帝王的。  【组词】：御膳、御医、御驾
濿: 1.古同“砅”，踏着石头过水。2.渡水：“棹舟杭以横～兮。”
壈: 〔坎～〕不平，喻不顺利，如“英雄坎～识天意，失路东归亦何济。”
蝯: 古同“猿”。
咷: 哭：号（háo）～。
刜: 用刀砍；击。
鞟: 去毛的兽皮。皮革：“虎豹之～犹犬羊之～。”制革。3.靴子。
鵔: 〔～鸃（yí）〕赤雉，即“锦鸡”。
鸃: 〔鵔～〕见“鵔”。
墆: 1.〔～翳（yìㄧˋ）〕遮蔽，如“举霓旌之～翳（yìㄧˋ）兮。”2.底：泰山之巅～。
闇: 昏昧、糊涂。  【组词】：昏闇、闇弱、愚闇
闳: 1.巷门。2.宏大。3.姓。
坲: 地面起伏不平。
淟: 污浊；卑劣：～涊。
涊: 形容出汗。
渨: 1.没。2.〔～涹（wō）〕污秽，如“荡～涹（wō）之奸咎兮。”3.水流弯曲处。
